name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two,type
Cup Shup,No,No,2.8,185,Indiranagar,Cafe,others,500.0,Delivery
Sharma Ji Chaats And Desi khana,No,No,3.3,0,Jayanagar,Quick Bites,"North Indian, Street Food",200.0,Delivery
The little Kitchen,Yes,No,2.8,0,JP Nagar,Quick Bites,"Chinese, North Indian",300.0,Delivery
Madurai Veg Kitchen,Yes,No,3.8,0,Bellandur,"Takeaway, Delivery","North Indian, Chinese, South Indian",200.0,Delivery
Nandini Swadista Loka,No,No,3.3,4,Rajajinagar,Quick Bites,"North Indian, South Indian, Chinese",300.0,Dine-out
Stoked!,No,No,4.3,294,Koramangala 4th Block,Cafe,others,850.0,Dine-out
Cafe At The Atelier,Yes,No,4.2,510,Sarjapur Road,Cafe,others,800.0,Delivery
Five Satr Chiken,No,No,3.6,0,Bellandur,Quick Bites,Fast Food,300.0,Delivery
Wow! Sikkim Momo,No,No,3.3,18,New BEL Road,Quick Bites,others,150.0,Dine-out
Cafe Cerrise,Yes,No,3.8,96,Ulsoor,Cafe,others,600.0,Dine-out
Tandoor,Yes,Yes,3.9,1374,MG Road,others,North Indian,2100.0,Dine-out
Cashmere Nites,Yes,No,3.5,74,Koramangala 6th Block,Casual Dining,others,600.0,Delivery
H3O,No,No,3.1,11,Indiranagar,others,"North Indian, Chinese",1000.0,Pubs and bars
Malnad Military Hotel,No,No,3.3,0,BTM,Quick Bites,"South Indian, Chinese",350.0,Dine-out
Taste Of Banaras,No,No,3.4,0,Malleshwaram,Quick Bites,North Indian,200.0,Dine-out
The Happy Vegetarian,No,No,3.9,0,Basaveshwara Nagar,Casual Dining,"North Indian, Chinese, South Indian",600.0,Delivery
Chefactory Gold by Flechazo,Yes,No,3.7,354,Whitefield,Casual Dining,"North Indian, Biryani",700.0,Delivery
Chinese Kitchen,No,No,3.2,0,JP Nagar,Quick Bites,Chinese,400.0,Dine-out
The Duke of Juices,Yes,No,3.5,0,JP Nagar,Quick Bites,others,200.0,Delivery
Spicy Hub,No,No,3.0,26,Bellandur,Quick Bites,North Indian,400.0,Delivery
Darbar,No,No,3.0,98,Banashankari,others,"North Indian, Chinese",800.0,Drinks & nightlife
Foodizclub,No,No,3.3,0,Marathahalli,Delivery,others,400.0,Delivery
Andhra Paris,Yes,No,3.2,5,Sarjapur Road,Quick Bites,Andhra,250.0,Delivery
Shiro,Yes,Yes,4.4,2241,Lavelle Road,others,others,3000.0,Delivery
Bearfoot Cafe,Yes,No,4.2,177,Koramangala 6th Block,Cafe,Cafe,600.0,Delivery
Eatery Have U Been,Yes,No,3.4,35,BTM,others,others,500.0,Delivery
Kaaram,Yes,No,3.9,325,Koramangala 6th Block,Casual Dining,"Andhra, Biryani",500.0,Delivery
Shaadi Ki Biryani,Yes,No,2.8,296,Commercial Street,Casual Dining,Biryani,600.0,Dine-out
Baba Chatkora,Yes,No,4.2,823,Koramangala 6th Block,Casual Dining,North Indian,1000.0,Delivery
Grillopia,Yes,No,3.9,97,BTM,Quick Bites,others,1000.0,Delivery
Kanthari Food Court,No,No,3.1,0,Bellandur,others,Kerala,150.0,Dine-out
The Grilled & Fried,Yes,No,3.3,44,Marathahalli,Quick Bites,Fast Food,300.0,Dine-out
Le Rock,Yes,No,4.0,1218,Brigade Road,others,others,2000.0,Delivery
Aalishan Restaurant & Caterer,Yes,No,3.5,888,Koramangala 7th Block,Casual Dining,"North Indian, Mughlai",650.0,Delivery
Sweet Chariot,Yes,No,3.8,111,Cunningham Road,Dessert Parlor,"Bakery, Fast Food",500.0,Delivery
The Wok Shop,Yes,No,4.1,270,Koramangala 1st Block,Quick Bites,others,500.0,Delivery
Asia Kitchen By Mainland China,Yes,Yes,4.9,2235,Koramangala 5th Block,"Casual Dining, Bar",others,1500.0,Delivery
Biryani Junction,Yes,No,2.3,298,Bommanahalli,Quick Bites,"Biryani, North Indian, Chinese",450.0,Delivery
The Square - Novotel,No,Yes,4.3,766,Marathahalli,others,others,2500.0,Dine-out
55 Wall Street,No,Yes,3.9,1763,JP Nagar,others,others,1300.0,Drinks & nightlife
Chetty's Corner,No,No,4.0,52,Malleshwaram,Quick Bites,others,250.0,Dine-out
Chaatimes,Yes,No,3.6,27,Nagawara,Quick Bites,others,200.0,Delivery
Dose Mane,No,No,3.4,0,Rajajinagar,"Takeaway, Delivery",South Indian,150.0,Delivery
Udupi Sri Krishna Cafe,Yes,No,3.8,16,Jayanagar,Casual Dining,"North Indian, South Indian",600.0,Dine-out
Stir Fry,No,No,4.0,209,Residency Road,Casual Dining,"Chinese, Momos",500.0,Delivery
Swad Restaurant,Yes,No,3.7,115,BTM,Casual Dining,"Chinese, North Indian",550.0,Dine-out
Nandhana Palace,No,Yes,4.1,819,Koramangala 4th Block,"Casual Dining, Bar",others,800.0,Delivery
Ande Ka Funda,No,No,2.8,60,BTM,Quick Bites,others,250.0,Dine-out
Donne Biriyani House,Yes,No,3.3,212,JP Nagar,Quick Bites,others,350.0,Dine-out
Double Decker,No,Yes,4.3,2651,Brigade Road,others,others,1300.0,Drinks & nightlife
Satkar,No,No,3.6,22,Electronic City,Quick Bites,"Chinese, North Indian",350.0,Delivery
Restro Cafe,Yes,No,3.8,30,Jayanagar,Cafe,Cafe,400.0,Delivery
My Tea House,Yes,Yes,3.1,0,Banashankari,Casual Dining,others,800.0,Delivery
Noodle Panda,Yes,No,4.3,341,Koramangala 5th Block,Casual Dining,others,800.0,Dine-out
Calvin's,Yes,No,3.8,22,HSR,others,Desserts,800.0,Delivery
Tree Tops Bar & Kitchen,No,Yes,4.4,152,Lavelle Road,"Casual Dining, Bar",others,1000.0,Dine-out
Hide Out - The Golden Tulip,Yes,No,3.2,9,Electronic City,others,Finger Food,1800.0,Drinks & nightlife
Sunaina Sapice,Yes,No,3.3,7,New BEL Road,Quick Bites,"South Indian, North Indian, Chinese",200.0,Delivery
Ambur Hot Dum Biryani,No,No,3.0,9,Thippasandra,Quick Bites,Biryani,200.0,Dine-out
SKS Veg Corner,Yes,No,3.4,43,Sahakara Nagar,Quick Bites,South Indian,300.0,Delivery
XOOX Brewmill,No,Yes,4.4,1592,Koramangala 5th Block,others,others,2000.0,Dine-out
Gorbandh,Yes,No,4.0,84,BTM,Quick Bites,others,400.0,Delivery
Krussh,No,No,3.0,0,Kammanahalli,Quick Bites,Fast Food,100.0,Delivery
Omleterian,Yes,No,3.8,0,HSR,Quick Bites,others,200.0,Delivery
Corner House Ice Cream,Yes,No,4.4,825,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",400.0,Delivery
